VendorNumber,VendorName,SalesQuantity,SalesDollars,Quantity,Dollars,Freight,EstimatedProfit
4425,MARTIGNETTI COMPANIES,2578355.0,40992395.93,3136,27821473.91,144719.92,13026202.1
4425,MARTIGNETTI COMPANIES ,2578355.0,40992395.93,3136,40216.11,209.32,40951970.5
4425,MARTIGNETTI COMPANIES,2963.0,54910.37,3136,27821473.91,144719.92,-27911283.46
4425,MARTIGNETTI COMPANIES ,2963.0,54910.37,3136,40216.11,209.32,14484.940000000002
4466,AMERICAN VINTAGE BEVERAGE  ,14637.0,190134.63,15778,156357.28,793.91,32983.44
4550,KLIN SPIRITS LLC           ,6606.0,147675.94,6840,103484.29,531.5,43660.15000000001
4692,KOBRAND CORPORATION        ,161920.0,2840547.87,161002,1808146.33,9139.380000000001,1023262.16
4848,LAIRD & CO                 ,20141.0,213108.09,21422,203011.58000000002,1043.69,9052.81999999998
4901,LAUREATE IMPORTS CO        ,,,29,140.94,0.72,
4950,LATITUDE BEVERAGE COMPANY  ,49789.0,471551.11,53090,316446.76,1610.0,153494.34999999998
5083,LOYAL DOG WINERY           ,74.0,1111.26,240,2320.8,10.680000000000001,-1220.2200000000003
5270,MANGO BOTTLING INC         ,26875.0,244549.25,28414,204510.38,1034.42,39004.45
5455,MARSALLE COMPANY           ,6640.0,215253.6,7158,185311.19,937.21,29005.200000000004
5612,MILTONS DISTRIBUTING CO    ,261.0,2661.69,267,1824.1799999999998,9.46,828.0500000000002
5992,MCCORMICK DISTILLING CO    ,28998.0,385759.72,29788,310552.87,1567.85,73638.99999999997
6213,MHW LTD                    ,212350.0,2586254.5,215201,1888333.01,9621.58,688299.91
6215,MOONLIGHT MEADERY          ,7123.0,95208.77,7967,71357.59,365.61,23485.570000000007
6280,UNCORKED       ,62.0,1124.3799999999999,243,2966.31,15.26,-1857.19
6355,NICHE W & S                ,10404.0,114938.95999999999,9277,111031.77,551.21,3355.9799999999877
6359,OLE SMOKY DISTILLERY LLC   ,106890.0,498686.6,110162,387622.69,1922.0,109141.90999999997
6785,PALM BAY INTERNATIONAL INC ,373092.0,4025063.52,375697,2693984.33,13605.41,1317473.78
6830,PARK STREET IMPORTS LLC    ,3503.0,77594.47,4349,69459.42,360.28999999999996,7774.760000000003
7153,PINE STATE TRADING CO      ,416859.0,4647517.08,424427,3129071.59,15884.82,1502560.6700000002
7154,PREMIER DISTRIBUTORS       ,5566.0,109091.34,5916,84530.87,432.37,24128.100000000002
7239,REMY COINTREAU USA INC     ,135195.0,4294875.05,142363,3354958.28,16978.67,922938.1
7240,"PREMIUM PORT WINES, INC.   ",8024.0,86057.76,8167,59760.74,301.2,25995.819999999996
7245,PROXIMO SPIRITS INC.       ,667654.0,10516246.86,682042,7588029.9,38994.78,2889222.1799999992
7255,PSP WINES ,14594.0,171646.56,16493,128895.69,648.71,42102.159999999996
7749,R.P.IMPORTS INC            ,1038.0,54266.62,498,18776.87,91.5,35398.25
8004,SAZERAC CO INC             ,1385046.0,13250928.19,1417727,9916770.26,50293.62,3283864.3099999996
8112,MOET HENNESSY USA INC      ,424251.0,13546931.06,427867,9472995.2,48347.26,4025588.6000000015
8150,SEA HAGG DISTILLERY LLC    ,13160.0,213422.4,15412,188044.46,935.52,24442.420000000002
8320,SHAW ROSS INT L IMP LTD    ,68146.0,856945.64,69127,624979.64,3151.92,228814.08
8352,LUXCO INC                  ,286953.0,2826287.77,283260,2051436.01,10261.6,764590.16
8663,STAR INDUSTRIES INC.       ,428.0,7914.719999999999,151,2452.29,12.44,5449.99
8664,"STOLI GROUP,(USA) LLC      ",272010.0,4663847.6,314035,3666478.72,18544.49,978824.3899999994
8673,STE MICHELLE WINE ESTATES  ,418674.0,4903385.9,419822,3086650.7,15919.7,1800815.5000000002
8735,SURVILLE ENTERPRISES CORP  ,6515.0,80444.85,6504,51325.77,263.32,28855.76000000001
8892,TRINCHERO FAMILY ESTATES   ,346725.0,3467869.81,352526,2252211.31,11595.97,1204062.53
8920,TAKARA SAKE USA INC        ,8973.0,64082.97,9066,45289.34,232.99,18560.640000000003
9099,TRUETT HURST               ,1.0,14.99,24,236.64,1.25,-222.89999999999998
9165,ULTRA BEVERAGE COMPANY LLP ,1043235.0,17822938.45,1077527,13210613.93,68054.7,4544269.819999999
9206,PHILLIPS PRODUCTS CO.      ,43680.0,600363.7,40054,430945.89,2211.83,167205.97999999995
9260,TY KU LLC                  ,2490.0,44141.6,3003,38921.47,198.94,5021.189999999998
9552,M S WALKER INC             ,1343481.0,15465247.75,1372841,10935817.3,55551.82,4473878.629999999
9622,WEIN BAUER INC             ,2867.0,56930.229999999996,3014,43517.0,222.23,13190.999999999996
9625,WESTERN SPIRITS BEVERAGE CO,49379.0,443217.71,56860,361249.21,1933.19,80035.31
9744,FREDERICK WILDMAN & SONS   ,69327.0,1143044.57,70932,759449.24,3999.93,379595.4000000001
9751,VINEDREA WINES LLC         ,440.0,11385.6,205,4657.6,24.53,6703.47
9815,WINE GROUP INC             ,869054.0,8341165.72,888385,5258636.79,27100.41,3055428.5199999996
9819,TREASURY WINE ESTATES      ,495308.0,4740218.38,497770,2978686.4,14836.57,1746695.41
10000,MAJESTIC FINE WINES        ,433515.0,5375429.09,446119,3506668.63,17587.59,1851172.8699999999
10050,Russian Standard Vodka     ,15207.0,139327.43,12798,138907.27000000002,732.6,-312.44000000002563
10754,PERFECTA WINES             ,512750.0,7825504.16,553116,5665501.53,28720.52,2131282.11
11567,CAMPARI AMERICA            ,490456.0,5610527.4399999995,501284,4141720.71,20964.81,1447841.9199999995
12331,STELLAR IMPORTING CO LLC   ,2987.0,35480.63,3104,24560.08,119.23,10801.319999999996
12546,JIM BEAM BRANDS COMPANY    ,2630226.0,31906320.54,2737165,24203151.05,123880.97,7579288.519999999
17031,FLAG HILL WINERY & VINEYARD,20788.0,411807.12,20608,300403.2,1573.31,109830.60999999999
17032,JEWELL TOWNE VINEYARDS     ,6318.0,85230.81999999999,6630,54332.37,283.61,30614.83999999999
17033,SEA BREEZE CELLARS LLC     ,7106.0,149564.94,8473,108948.09,549.55,40067.3
17035,PERNOD RICARD USA          ,1613460.0,32281247.95,1647558,24124091.56,123780.22,8033376.170000001
17037,Dunn Wine Brokers          ,4117.0,83061.33,5448,72055.3,358.03000000000003,10647.999999999998
28750,SMOKY QUARTZ DISTILLERY LLC,2739.0,76449.11,3197,69803.70999999999,342.65,6302.750000000009
28776,TALL SHIP DISTILLERY LLC   ,1786.0,49533.14,2236,48445.58,259.9,827.6599999999977
90010,VINEXTRA INC               ,8021.0,141335.79,8530,102639.51000000001,524.9399999999999,38171.34
90011,FORTUNE WINE BROKERS LLC   ,4707.0,72952.93,5072,46940.17,238.61,25774.149999999994
90017,THE IMPORTED GRAPE LLC     ,1736.0,22179.739999999998,2280,16093.77,80.03,6005.939999999998
90024,VINILANDIA USA             ,57335.0,826960.0499999999,59428,548855.37,2802.64,275302.0399999999
90026,SILVER MOUNTAIN CIDERS     ,52.0,381.48,17,77.17999999999999,0.36,303.94
90027,POVERTY LANE ORCHARDS      ,6341.0,73642.09,5872,45269.01,229.88,28143.199999999993
90032,LABELLE VYDS AND WINERY    ,12430.0,203067.7,12855,146839.55,778.25,55449.90000000002
90033,FANTASY FINE WINES CORP    ,41.0,327.59000000000003,24,128.64,0.61,198.34000000000003
90037,THE PIERPONT GROUP LLC     ,1079.0,17937.21,580,5713.1900000000005,27.98,12196.039999999999
90046,CANDIA VINEYARDS           ,2567.0,52623.33,2609,36588.01,194.13,15841.19
90047,CRUSH WINES                ,25333.0,420237.07,26349,287189.9,1457.73,131589.43999999997
90051,FULCHINO VINEYARD INC      ,836.0,14441.64,949,11147.77,54.91,3238.959999999999
90052,HAUNTING WHISPER VYDS      ,611.0,7325.89,669,5388.58,27.61,1909.7000000000005
90053,INCREDIBREW INC            ,2698.0,35508.52,2786,24525.84,124.44,10858.239999999996
90056,SWEET BABY VINEYARD        ,14773.0,184253.27,16805,140577.9,703.64,42971.729999999996
90057,WALPOLE MTN VIEW WINERY    ,662.0,11483.88,805,9292.31,46.74,2144.83
90058,ZORVINO VINEYARDS          ,10141.0,124189.59,10550,86122.71,448.68,37618.19999999999
90059,BLACK COVE BEVERAGES       ,313.0,6256.87,919,14465.060000000001,74.84,-8283.030000000002
98450,Serralles Usa LLC          ,10607.0,204150.93,10463,168993.61,856.02,34301.30000000001
99166,STARK BREWING COMPANY      ,846.0,25371.54,1212,25961.04,130.09,-719.59
172662,SWEETWATER FARM         ,1237.0,35049.63,1629,34708.03,178.34,163.25999999999854
173357,TAMWORTH DISTILLING        ,1488.0,40021.119999999995,1990,41036.44,202.5,-1217.820000000007
201359,FLAVOR ESSENCE INC         ,59.0,1474.4099999999999,1,17.0,0.09,1457.32
